date,close,volume,open,high,low
8/1/2017,141.779999,19835900,142.169998,142.199997,140.970001
8/2/2017,140.229996,19934300,141.589996,141.820007,139.729996
8/3/2017,139.529999,19624900,140.440002,140.539993,139.160004
8/4/2017,140.210007,16473500,139.910004,140.320007,139.490005
8/7/2017,140.440002,9176200,140.440002,140.850006,139.710007
8/8/2017,140,27248700,140.410004,141.789993,139.690002
8/9/2017,138.789993,26534300,139.119995,139.389999,138.279999
8/10/2017,136.270004,40983500,138.279999,138.279999,136.259995
8/11/2017,136.470001,32779600,136.210007,136.740005,135.770004
8/14/2017,138.539993,21459300,137.259995,138.589996,137.229996
8/15/2017,137.399994,16646000,138.800003,138.820007,137.339996
8/16/2017,137.440002,21858600,137.669998,138.389999,137.210007
8/17/2017,134.929993,32722900,136.979996,137.690002,134.919998
8/18/2017,134.919998,42401900,134.470001,135.460007,134.119995
8/21/2017,134.830002,21504100,134.690002,135.020004,134.139999
8/22/2017,136.289993,25170600,135.259995,136.449997,135.139999
8/23/2017,136.070007,18381900,135.529999,136.570007,135.210007
8/24/2017,136.490005,15726600,136.639999,136.929993,136.020004
8/25/2017,136.880005,17163000,136.880005,137.309998,136.419998
8/28/2017,137.460007,16333300,137.369995,137.610001,136.770004
8/29/2017,137.490005,20277600,136.490005,137.809998,136.229996
8/30/2017,138.369995,15915500,137.360001,138.509995,137.25
8/31/2017,139.729996,29260600,138.910004,139.940002,138.669998
9/1/2017,140.520004,17412500,139.979996,140.630005,139.729996
9/5/2017,139.169998,21908400,140.630005,140.889999,138.580002
9/6/2017,139.460007,18399700,139.740005,140,139.080002
9/7/2017,139.110001,18159800,139.589996,139.690002,138.589996
9/8/2017,139.220001,21870500,138.929993,139.770004,138.619995
9/11/2017,140.679993,22617700,140.389999,140.919998,140.229996
9/12/2017,141.539993,22679600,141.039993,141.690002,140.820007
9/13/2017,141.960007,25052500,141.410004,142.220001,141.320007
9/14/2017,141.830002,18353800,141.779999,142.160004,141.419998
9/15/2017,142.410004,23184000,141.639999,142.470001,141.550003
9/18/2017,143.380005,24427400,142.619995,143.809998,142.600006
9/19/2017,143.380005,16346300,143.570007,143.690002,143.089996
9/20/2017,143.839996,20244700,143.529999,144.020004,143.259995
9/21/2017,143.690002,17395900,144.020004,144.259995,143.479996
9/22/2017,144.300003,25203000,143.669998,144.669998,143.559998
9/25/2017,144.5,30012800,144.270004,144.940002,143.690002
9/26/2017,144.610001,28238100,144.289993,145.149994,144.179993
9/27/2017,147.440002,66351700,145.630005,147.860001,145.160004
9/28/2017,147.830002,29291400,147.25,148.059998,146.779999
9/29/2017,148.179993,21738700,147.919998,148.429993,147.740005
10/2/2017,150,29772400,148.309998,150,148.080002
10/3/2017,150.330002,28372800,150.110001,150.330002,149.330002
10/4/2017,149.850006,22024700,150.089996,150.610001,149.389999
10/5/2017,150.259995,22538500,150.289993,150.630005,149.869995
10/6/2017,150.050003,19350800,149.710007,150.339996,149.570007
10/9/2017,149.429993,13981300,150.190002,150.679993,149.179993
10/10/2017,149.860001,21951900,149.929993,150.289993,149.410004
10/11/2017,149.75,15137100,149.940002,150.190002,149.460007
10/12/2017,149.639999,17185600,149.460007,150.009995,149.020004
10/13/2017,149.369995,15464400,149.919998,149.990005,149.229996
10/16/2017,149.240005,20653100,149.610001,150.350006,149.029999
10/17/2017,148.809998,18046800,149.270004,149.770004,148.5
10/18/2017,149.520004,20541700,149.5,149.910004,149.080002
10/19/2017,149.289993,17164900,148.770004,149.330002,148.169998
10/20/2017,149.979996,25224500,150.309998,150.410004,149.860001
10/23/2017,148.860001,14676400,150.149994,150.149994,148.699997
10/24/2017,149.169998,17527700,149.389999,149.779999,149.039993
10/25/2017,148.449997,27235300,148.940002,149,147.220001
10/26/2017,148.759995,15205900,148.940002,149.339996,148.509995
10/27/2017,149.789993,32744100,148.880005,149.910004,148.300003
10/30/2017,148.210007,30524800,148.880005,149.449997,147.389999
10/31/2017,149.259995,22449400,148.789993,149.830002,148.639999
11/1/2017,148.270004,31585500,150.5,150.529999,147.440002
11/2/2017,148.710007,28176600,148.240005,149.229996,147.720001
11/3/2017,148.610001,22312700,148.479996,148.960007,148.059998
11/6/2017,148.779999,15576800,148.75,149.380005,148.389999
11/7/2017,147,29549300,148.800003,148.850006,146.539993
11/8/2017,147.199997,30682500,146.660004,147.449997,145.839996
11/9/2017,146.679993,40144400,146.270004,147.389999,145.279999
11/10/2017,146.570007,17823700,146.710007,147.100006,146.350006
11/13/2017,146.610001,14680000,145.929993,146.820007,145.5
11/14/2017,146.210007,19682200,146.059998,146.490005,145.589996
11/15/2017,145.630005,23925200,145.350006,146.210007,144.5
11/16/2017,147.770004,25889000,146.210007,148.399994,146.190002
11/17/2017,148.449997,25816700,147.25,149.029999,147.169998
11/20/2017,149.529999,22793000,148.759995,149.580002,148.330002
11/21/2017,151.089996,29392300,150.199997,151.289993,150.059998
11/22/2017,150.889999,14136600,151.279999,151.770004,150.860001
11/24/2017,150.949997,6816300,151.210007,151.369995,150.770004
11/27/2017,150.490005,18416900,151.300003,151.619995,150.440002
11/28/2017,152.860001,35898300,151.020004,152.970001,150.660004
11/29/2017,153.369995,38234200,153.339996,154.210007,152.949997
11/30/2017,153.649994,32230700,154.100006,154.550003,153.279999
12/1/2017,153.020004,62734800,153.020004,153.710007,148.75
12/4/2017,152.449997,36366800,154.899994,155.410004,152.300003
12/5/2017,150.929993,29667200,151.399994,152.960007,150.919998
12/6/2017,150.220001,21273800,150.369995,151.190002,149.949997
12/7/2017,151.270004,29675200,151.309998,151.889999,150.020004
12/8/2017,151.410004,20832400,152.149994,152.279999,151.279999
12/11/2017,151.350006,26654100,151.429993,152.130005,151.020004
12/12/2017,150.880005,25854800,151.699997,151.929993,150.820007
12/13/2017,151.779999,30082600,150.809998,152.710007,150.809998
12/14/2017,150.100006,32882600,151.850006,152.199997,149.639999
12/15/2017,152.240005,42851600,151.050003,153.25,150.580002
12/18/2017,154.300003,22714300,153.669998,154.720001,153.460007
12/19/2017,153.080002,24313600,154.75,154.770004,152.820007
12/20/2017,153.380005,19042800,153.75,153.940002,152.839996
12/21/2017,153.470001,16772600,153.240005,154.020004,153.080002
12/22/2017,153.190002,13599400,153.380005,153.389999,152.800003
12/26/2017,153.279999,11949600,153,153.429993,152.899994
12/27/2017,153.130005,15949900,153.210007,153.949997,152.809998
12/28/2017,153.729996,10167300,153.240005,153.75,153.009995
12/29/2017,152.460007,21006500,154.149994,154.149994,152.389999
1/2/2018,153.899994,20489600,153.199997,153.970001,152.460007
1/3/2018,154.059998,21836600,153.869995,154.460007,153.520004
1/4/2018,154.470001,14207100,154.970001,155.149994,154.020004
1/5/2018,154.789993,19883900,154.880005,154.979996,153.940002
1/8/2018,155.029999,18457300,154.729996,155.270004,153.5
1/9/2018,154.820007,16571300,155.240005,155.5,154.729996
1/10/2018,154.839996,18516800,154.470001,155.169998,153.919998
1/11/2018,157.5,26522400,155.070007,157.660004,154.979996
1/12/2018,158.160004,24089800,157.679993,158.860001,157.470001
1/16/2018,156.139999,27704700,158.860001,159.410004,155.800003
1/17/2018,157.619995,18169100,156.800003,157.940002,156.279999
1/18/2018,156.539993,17903600,157.220001,157.5,156.389999
1/19/2018,158.600006,31040900,156.729996,158.690002,156.550003
1/22/2018,159.449997,12702400,158.399994,159.449997,158.309998
1/23/2018,159.960007,16904600,159.240005,160.300003,158.669998
1/24/2018,158.970001,20340900,160.360001,160.630005,158.399994
1/25/2018,159.029999,20290900,159.639999,159.919998,158.210007
1/26/2018,159.600006,16120300,159.529999,159.690002,158.770004
1/29/2018,158.699997,18293300,159.059998,159.860001,158.619995
1/30/2018,157.179993,24533800,157.660004,158.220001,156.729996
1/31/2018,156.360001,27468900,157.740005,158.419998,155.919998
2/1/2018,156.850006,21413000,155.729996,157.210007,155.529999
2/2/2018,153.830002,33314100,156.130005,156.149994,153.509995
2/5/2018,147.919998,52622200,152.669998,153.789993,147.860001
2/6/2018,149.690002,69232400,145.529999,150.369995,144.240005
2/7/2018,149.839996,37101000,149.610001,150.789993,148.610001
2/8/2018,145.440002,44704500,149.990005,150,145.440002
2/9/2018,146.770004,53315300,146.759995,147.940002,142.5
2/12/2018,148.160004,36213900,146.919998,148.919998,145.479996
2/13/2018,148.479996,25021200,147.380005,148.789993,146.899994
2/14/2018,151.149994,36286900,147.630005,151.520004,147.179993
2/15/2018,152.800003,23773600,152.220001,152.869995,150.559998
2/16/2018,153.339996,27973900,152.610001,154.289993,152.539993
2/20/2018,152.080002,24046200,152.550003,153.770004,151.669998
2/21/2018,152.240005,26735500,152.419998,154.809998,152.009995
2/22/2018,152,16340000,152.809998,154.029999,151.910004
2/23/2018,153.979996,18065200,152.979996,154.020004,152.149994
2/26/2018,154.990005,15267700,154.529999,155.259995,153.470001
2/27/2018,152.759995,18125500,155.179993,155.880005,152.75
2/28/2018,150.350006,29951800,153.139999,153.600006,150.309998
3/1/2018,149.949997,38943200,150.050003,151.570007,148.380005
3/2/2018,152.350006,31842300,148.710007,152.75,148.399994
3/5/2018,153.710007,19603700,151.820007,154.259995,151.470001
3/6/2018,155.369995,17304000,154.429993,155.389999,152.800003
3/7/2018,156.740005,22684600,154.460007,156.929993,154.220001
3/8/2018,156.419998,23391300,156.899994,157.470001,155.5
3/9/2018,158.919998,24927200,157.309998,159,156.869995
3/12/2018,159.199997,15310100,159.25,159.649994,158.490005
3/13/2018,158.460007,17757200,160,160.300003,158.139999
3/14/2018,157.710007,18097500,159.220001,159.389999,157.410004
3/15/2018,156.919998,14172100,158.100006,158.139999,156.369995
3/16/2018,157.800003,36000300,156.979996,158.270004,156.75
3/19/2018,156.279999,25663000,157.169998,157.210007,154.449997
3/20/2018,156.240005,11418500,156.669998,157.020004,155.770004
3/21/2018,157.149994,22213500,156.320007,158.259995,156.199997
3/22/2018,153.350006,29774800,155.660004,156.619995,153.309998
3/23/2018,150.050003,35744100,153.559998,153.940002,150
3/26/2018,153.330002,28442400,152.089996,153.380005,150.429993
3/27/2018,150.360001,32820600,153.660004,153.699997,149.710007
3/28/2018,150.309998,26510900,150.740005,151.350006,149.389999
3/29/2018,151.830002,22617700,151.080002,153.100006,150.75
4/2/2018,148.130005,35040700,151.520004,152.070007,147.179993
4/3/2018,150.25,29857800,149.020004,150.600006,148.300003
4/4/2018,152.160004,29619700,148.5,152.580002,148.270004
4/5/2018,153.419998,17301600,153.039993,153.610001,152.320007
4/6/2018,150.360001,25762700,152.369995,153.399994,149.149994
4/9/2018,150.539993,18997000,151.399994,152.600006,150.419998
4/10/2018,153.380005,23420000,152.139999,153.949997,151.669998
4/11/2018,153.710007,14884600,152.779999,154.309998,152.630005
4/12/2018,154.759995,14413200,154.429993,155.410004,153.929993
4/13/2018,153.949997,19813600,155.289993,155.330002,153.509995
4/16/2018,155.369995,18846900,154.839996,155.820007,154.110001
4/17/2018,157.059998,18624200,156.210007,157.490005,155.960007
4/18/2018,157.479996,16974200,157.520004,158.380005,157.160004
4/19/2018,156.389999,16174500,157.139999,157.539993,155.880005
4/20/2018,155.550003,21480600,156.050003,156.720001,155.149994
4/23/2018,155.320007,13268200,155.779999,156.289993,154.570007
4/24/2018,154.429993,24859700,155.899994,156.630005,153.190002
4/25/2018,154.199997,21981400,154.360001,154.800003,152.960007
4/26/2018,154.910004,14862900,154.419998,155.410004,153.940002
4/27/2018,154.690002,17734300,154.880005,155.369995,153.779999
4/30/2018,153.320007,15624600,155.020004,155.649994,153.289993
5/1/2018,154.070007,24977500,153.009995,154.289993,151.710007
5/2/2018,154.649994,16786800,153.779999,155.779999,153.679993
5/3/2018,153.809998,20985900,154.110001,154.5,152.160004
5/4/2018,155.729996,17927900,153.259995,156.5,152.800003
5/7/2018,157.050003,16303500,156.190002,157.860001,156.100006
5/8/2018,157.830002,17281200,156.919998,157.830002,156.75
5/9/2018,158.679993,15758500,158.009995,159.100006,157.380005
5/10/2018,159.529999,15828700,158.899994,160.169998,158.759995
5/11/2018,159.839996,14413600,159.550003,160.130005,159.039993
5/14/2018,159.229996,15028500,160.020004,160.690002,159.050003
5/15/2018,159.259995,17544900,158.710007,159.589996,158.169998
5/16/2018,160.919998,21004400,159.490005,161.320007,159.470001
5/17/2018,161.660004,18639700,161,162,160.75
5/18/2018,161.869995,17579800,161.949997,162.320007,161.550003
5/21/2018,162.940002,15667300,162.369995,163.240005,162.360001
5/22/2018,161.759995,13212000,163.259995,163.330002,161.630005
5/23/2018,161.970001,14234300,161.330002,162.279999,161.130005
5/24/2018,162.029999,12785000,161.919998,162.350006,160.619995
5/25/2018,161.740005,11150200,161.75,162.160004,161.470001
5/29/2018,161.520004,20986900,160.880005,162.229996,160.110001
5/30/2018,164.080002,25169000,162.360001,164.389999,162.360001
5/31/2018,162.770004,28573700,164.080002,164.380005,162.339996
6/1/2018,163.839996,21108200,163.830002,164.380005,163.279999
6/4/2018,164.710007,14836000,164.320007,164.710007,163.320007
6/5/2018,165.729996,13283600,164.550003,165.770004,164.339996
6/6/2018,166.929993,16661300,165.710007,166.929993,165.580002
6/7/2018,166.020004,17571900,167.110001,167.229996,165.229996
6/8/2018,166.520004,17569800,166.059998,166.610001,165.759995
6/11/2018,166.770004,15923000,166.639999,167.110001,166.289993
6/12/2018,167.529999,16166700,166.919998,167.940002,166.729996
6/13/2018,166.869995,19853700,167.770004,167.869995,166.619995
6/14/2018,167.759995,19248100,167.490005,167.839996,166.610001
6/15/2018,167.809998,24922600,167.240005,167.869995,166.529999
6/18/2018,168.600006,18616500,166.970001,168.610001,166.729996
6/19/2018,168.610001,24605900,167.550003,168.770004,166.539993
6/20/2018,169.970001,19216900,169.449997,170.199997,168.949997
6/21/2018,168.380005,26946200,169.979996,170.080002,167.770004
6/22/2018,167.820007,33638200,169.009995,169.199997,167.309998
6/25/2018,165.080002,37005100,167.240005,167.369995,164.139999
6/26/2018,166.039993,20464000,165.229996,166.660004,164.850006
6/27/2018,163.380005,27511800,166.210007,166.509995,163.309998
6/28/2018,163.880005,26759100,163.229996,164.220001,162.259995
6/29/2018,163.770004,24146500,164.309998,165.050003,163.610001
7/2/2018,164.899994,24283600,162.759995,164.960007,162.479996
7/3/2018,164.960007,13561300,164.75,165.699997,164.699997
7/5/2018,166.839996,18640500,165.860001,166.869995,164.830002
7/6/2018,168.25,19597500,166.970001,168.440002,166.520004
7/9/2018,169.309998,16565200,169.009995,169.330002,168.389999
7/10/2018,168.539993,18790700,169.580002,169.869995,167.570007
7/11/2018,167.110001,23912600,167.619995,168.610001,167.050003
7/12/2018,167.919998,19617600,168.070007,168.25,166.639999
7/13/2018,167.419998,15409100,167.850006,168.729996,167.419998
7/16/2018,166.770004,15946900,167.759995,168.029999,165.960007
7/17/2018,167.509995,15134700,166.75,168,166.589996
7/18/2018,167.979996,13780000,167.360001,168.059998,166.570007
7/19/2018,169.169998,18398300,167.770004,169.25,167.259995
7/20/2018,168.479996,17570700,168.800003,169.309998,168.350006
7/23/2018,168.690002,12335000,168.300003,169.149994,167.809998
7/24/2018,166.889999,25831300,169.449997,169.759995,166.220001
7/25/2018,167.5,18401200,166.940002,167.5,166.139999
7/26/2018,168.399994,20944200,167.660004,169.369995,167.509995
7/27/2018,165.259995,28777100,168.5,168.720001,164.789993
7/30/2018,164.199997,20093700,165.25,166.020004,164.070007
7/31/2018,165.869995,23567300,164.529999,166.619995,164.389999
